,Close,Volume,CPI,USTS,DI,PP,IR,OP,CLF,EPU,GDP,UNEMP
2018-12-23,36.1680679321289,382978400.0,252.767,2.79,116.2257,124395000.0,2.4,51.93,104131.0,144.91,61619.0,3.9
2018-12-24,35.2322616577148,148676800.0,252.767,2.74,116.2212,124628000.0,2.4,51.93,104131.0,141.79,61619.0,3.9
2018-12-25,35.2322616577148,148676800.0,252.767,2.74,116.2212,124628000.0,2.4,51.93,104131.0,141.79,61619.0,3.9
2018-12-26,37.7133636474609,234330000.0,252.767,2.81,116.1192,124628000.0,2.4,51.93,104131.0,198.19,61619.0,3.9
2018-12-27,37.4686279296875,212468400.0,252.767,2.77,115.9957,124628000.0,2.4,51.49,104131.0,161.1,61619.0,3.9
2018-12-28,37.4878234863281,169165600.0,252.767,2.72,115.7262,124628000.0,2.4,50.57,104131.0,156.65,61619.0,3.9
2018-12-29,37.4878234863281,169165600.0,252.767,2.72,115.7262,124628000.0,2.4,50.57,104131.0,156.65,61619.0,3.9
2018-12-30,37.4878234863281,169165600.0,252.767,2.72,115.7262,124628000.0,2.4,50.57,104131.0,156.65,61619.0,3.9
2018-12-31,37.8501396179199,140014000.0,252.767,2.69,115.5703,124574000.0,2.4,50.57,104131.0,149.82,61619.0,3.9
2019-01-01,37.8501396179199,140014000.0,252.767,2.69,115.5703,124574000.0,2.4,50.57,104131.0,149.82,61619.0,3.9
2019-01-02,37.8933334350586,148158800.0,252.718,2.66,115.7712,124108000.0,2.4,54.06,104084.0,146.97,61889.0,4.0
2019-01-03,34.1188735961914,365248800.0,252.718,2.56,115.4647,124108000.0,2.4,53.23,104084.0,212.58,61889.0,4.0
2019-01-04,35.5753898620606,234428400.0,252.718,2.67,114.9848,124108000.0,2.4,55.64,104084.0,153.15,61889.0,4.0
2019-01-05,35.5753898620606,234428400.0,252.718,2.67,114.9848,124108000.0,2.4,55.64,104084.0,153.15,61889.0,4.0
2019-01-06,35.5753898620606,234428400.0,252.718,2.67,114.9848,124108000.0,2.4,55.64,104084.0,153.15,61889.0,4.0
2019-01-07,35.496208190918,219111200.0,252.718,2.7,114.5656,124497000.0,2.4,57.1,104084.0,148.61,61889.0,4.0
2019-01-08,36.1728744506836,164101200.0,252.718,2.73,114.7308,124497000.0,2.4,56.91,104084.0,259.25,61889.0,4.0
2019-01-09,36.7871513366699,180396400.0,252.718,2.74,114.143,124497000.0,2.4,59.46,104084.0,120.42,61889.0,4.0
2019-01-10,36.9047317504883,143122800.0,252.718,2.74,114.0515,124497000.0,2.4,60.47,104084.0,148.84,61889.0,4.0
2019-01-11,36.5424003601074,108092800.0,252.718,2.71,114.0419,124497000.0,2.4,59.24,104084.0,170.68,61889.0,4.0
2019-01-12,36.5424003601074,108092800.0,252.718,2.71,114.0419,124497000.0,2.4,59.24,104084.0,170.68,61889.0,4.0
2019-01-13,36.5424003601074,108092800.0,252.718,2.71,114.0419,124497000.0,2.4,59.24,104084.0,170.68,61889.0,4.0
2019-01-14,35.9929084777832,129756800.0,252.718,2.71,114.0419,124413000.0,2.4,58.8,104084.0,223.58,61889.0,4.0
2019-01-15,36.7295608520508,114843600.0,252.718,2.72,114.341,124413000.0,2.4,58.65,104084.0,104.39,61889.0,4.0
2019-01-16,37.1782760620117,122278800.0,252.718,2.73,114.1377,124413000.0,2.4,59.81,104084.0,173.46,61889.0,4.0
2019-01-17,37.3990211486816,119284800.0,252.718,2.75,114.4123,124413000.0,2.4,59.85,104084.0,168.92,61889.0,4.0
2019-01-18,37.6293869018555,135004000.0,252.718,2.79,114.5591,124413000.0,2.4,62.04,104084.0,154.17,61889.0,4.0
2019-01-19,37.6293869018555,135004000.0,252.718,2.79,114.5591,124413000.0,2.4,62.04,104084.0,154.17,61889.0,4.0
2019-01-20,37.6293869018555,135004000.0,252.718,2.79,114.5591,124413000.0,2.4,62.04,104084.0,154.17,61889.0,4.0
2019-01-21,37.6293869018555,135004000.0,252.718,2.79,114.5591,124413000.0,2.4,62.04,104084.0,154.17,61889.0,4.0
2019-01-22,36.7847480773926,121576000.0,252.718,2.74,114.7551,124450000.0,2.4,60.9,104084.0,107.95,61889.0,4.0
2019-01-23,36.9335174560547,92522400.0,252.718,2.76,114.5768,124450000.0,2.4,61.05,104084.0,88.26,61889.0,4.0
2019-01-24,36.6407699584961,101766000.0,252.718,2.72,114.6177,124450000.0,2.4,61.09,104084.0,106.06,61889.0,4.0
2019-01-25,37.8549385070801,134142000.0,252.718,2.76,114.0204,124450000.0,2.4,61.49,104084.0,105.17,61889.0,4.0
2019-01-26,37.8549385070801,134142000.0,252.718,2.76,114.0204,124450000.0,2.4,61.49,104084.0,105.17,61889.0,4.0
2019-01-27,37.8549385070801,134142000.0,252.718,2.76,114.0204,124450000.0,2.4,61.49,104084.0,105.17,61889.0,4.0
2019-01-28,37.5046081542969,104768400.0,252.718,2.75,114.0529,124455000.0,2.4,59.71,104084.0,73.71,61889.0,4.0
2019-01-29,37.1158905029297,166348800.0,252.718,2.72,114.0263,124455000.0,2.4,60.98,104084.0,62.53,61889.0,4.0
2019-01-30,39.6521873474121,244439200.0,252.718,2.7,114.0741,124455000.0,2.4,61.89,104084.0,123.71,61889.0,4.0
2019-01-31,39.9377288818359,162958400.0,252.718,2.63,113.5511,124455000.0,2.4,62.46,104084.0,126.24,61889.0,4.0
2019-02-01,39.9569358825684,130672400.0,253.322,2.7,113.7559,124455000.0,2.4,61.86,104123.0,95.81,61889.0,3.8
2019-02-02,39.9569358825684,130672400.0,253.322,2.7,113.7559,124455000.0,2.4,61.86,104123.0,95.81,61889.0,3.8
2019-02-03,39.9569358825684,130672400.0,253.322,2.7,113.7559,124455000.0,2.4,61.86,104123.0,95.81,61889.0,3.8
2019-02-04,41.0919036865234,125982000.0,253.322,2.73,113.8774,124417000.0,2.4,62.26,104123.0,216.31,61889.0,3.8
2019-02-05,41.7949676513672,144406400.0,253.322,2.71,114.044,124417000.0,2.4,61.67,104123.0,87.75,61889.0,3.8
2019-02-06,41.8093605041504,112958400.0,253.322,2.7,114.2311,124417000.0,2.4,62.22,104123.0,145.25,61889.0,3.8
2019-02-07,41.0175132751465,126966800.0,253.322,2.65,114.4344,124417000.0,2.4,61.01,104123.0,93.79,61889.0,3.8
2019-02-08,41.0657157897949,95280000.0,253.322,2.63,114.5011,124417000.0,2.4,61.37,104123.0,76.81,61889.0,3.8
2019-02-09,41.0657157897949,95280000.0,253.322,2.63,114.5011,124417000.0,2.4,61.37,104123.0,76.81,61889.0,3.8
2019-02-10,41.0657157897949,95280000.0,253.322,2.63,114.5011,124417000.0,2.4,61.37,104123.0,76.81,61889.0,3.8
2019-02-11,40.8295555114746,83973600.0,253.322,2.65,115.0324,124398000.0,2.4,61.3,104123.0,59.53,61889.0,3.8
2019-02-12,41.1813888549805,89134000.0,253.322,2.68,114.7314,124398000.0,2.4,62.58,104123.0,45.91,61889.0,3.8
2019-02-13,41.0102844238281,89960800.0,253.322,2.71,114.9424,124398000.0,2.4,63.27,104123.0,93.01,61889.0,3.8
2019-02-14,41.1596908569336,87342800.0,253.322,2.66,115.102,124398000.0,2.4,64.0,104123.0,35.99,61889.0,3.8
2019-02-15,41.0681266784668,98507200.0,253.322,2.66,114.9934,124398000.0,2.4,65.65,104123.0,55.54,61889.0,3.8
2019-02-16,41.0681266784668,98507200.0,253.322,2.66,114.9934,124398000.0,2.4,65.65,104123.0,55.54,61889.0,3.8
2019-02-17,41.0681266784668,98507200.0,253.322,2.66,114.9934,124398000.0,2.4,65.65,104123.0,55.54,61889.0,3.8
2019-02-18,41.0681266784668,98507200.0,253.322,2.66,114.9934,124398000.0,2.4,65.65,104123.0,55.54,61889.0,3.8
2019-02-19,41.1910209655762,75891200.0,253.322,2.65,114.5711,124382000.0,2.4,65.86,104123.0,79.79,61889.0,3.8
2019-02-20,41.4561004638672,104457600.0,253.322,2.65,114.5711,124382000.0,2.4,66.82,104123.0,65.36,61889.0,3.8
2019-02-21,41.2223510742188,68998800.0,253.322,2.69,114.5105,124382000.0,2.4,66.91,104123.0,87.44,61889.0,3.8
2019-02-22,41.6826210021973,75652800.0,253.322,2.65,114.2727,124382000.0,2.4,66.91,104123.0,115.34,61889.0,3.8
2019-02-23,41.6826210021973,75652800.0,253.322,2.65,114.2727,124382000.0,2.4,66.91,104123.0,115.34,61889.0,3.8
2019-02-24,41.6826210021973,75652800.0,253.322,2.65,114.2727,124382000.0,2.4,66.91,104123.0,115.34,61889.0,3.8
2019-02-25,41.9862670898438,87493600.0,253.322,2.67,114.1467,124374000.0,2.4,64.02,104123.0,84.03,61889.0,3.8
2019-02-26,42.0103645324707,68280800.0,253.322,2.64,114.0697,124374000.0,2.4,64.51,104123.0,68.54,61889.0,3.8
2019-02-27,42.1404991149902,111341600.0,253.322,2.69,114.0372,124374000.0,2.4,65.55,104123.0,128.81,61889.0,3.8
2019-02-28,41.7260055541992,112861600.0,253.322,2.73,114.2006,124374000.0,2.4,65.03,104123.0,125.24,61889.0,3.8
2019-03-01,42.1645851135254,103544800.0,254.202,2.76,114.5385,124374000.0,2.4,63.71,104101.0,110.76,61889.0,3.8
2019-03-02,42.1645851135254,103544800.0,254.202,2.76,114.5385,124374000.0,2.4,63.71,104101.0,110.76,61889.0,3.8
2019-03-03,42.1645851135254,103544800.0,254.202,2.76,114.5385,124374000.0,2.4,63.71,104101.0,110.76,61889.0,3.8
2019-03-04,42.3766593933106,109744800.0,254.202,2.72,114.6938,124365000.0,2.4,64.44,104101.0,71.01,61889.0,3.8
2019-03-05,42.2995300292969,78949600.0,254.202,2.72,114.8054,124365000.0,2.4,64.24,104101.0,138.38,61889.0,3.8
2019-03-06,42.0561599731445,83241600.0,254.202,2.69,114.9732,124365000.0,2.4,64.51,104101.0,78.64,61889.0,3.8
2019-03-07,41.5693664550781,99185600.0,254.202,2.64,115.4939,124365000.0,2.4,64.82,104101.0,138.86,61889.0,3.8
2019-03-08,41.6681632995606,95997600.0,254.202,2.62,115.362,124365000.0,2.4,65.66,104101.0,81.81,61889.0,3.8
2019-03-09,41.6681632995606,95997600.0,254.202,2.62,115.362,124365000.0,2.4,65.66,104101.0,81.81,61889.0,3.8
2019-03-10,41.6681632995606,95997600.0,254.202,2.62,115.362,124365000.0,2.4,65.66,104101.0,81.81,61889.0,3.8
2019-03-11,43.1116523742676,128044000.0,254.202,2.64,115.2988,124413000.0,2.4,65.06,104101.0,161.35,61889.0,3.8
2019-03-12,43.5960197448731,129870400.0,254.202,2.61,114.941,124413000.0,2.4,65.33,104101.0,93.23,61889.0,3.8
2019-03-13,43.7888069152832,124130000.0,254.202,2.61,114.7396,124413000.0,2.4,65.89,104101.0,81.38,61889.0,3.8
2019-03-14,44.2755928039551,94318000.0,254.202,2.63,114.7926,124413000.0,2.4,66.18,104101.0,56.33,61889.0,3.8
2019-03-15,44.8515357971191,156171600.0,254.202,2.59,114.5843,124413000.0,2.4,66.11,104101.0,66.48,61889.0,3.8
2019-03-16,44.8515357971191,156171600.0,254.202,2.59,114.5843,124413000.0,2.4,66.11,104101.0,66.48,61889.0,3.8
2019-03-17,44.8515357971191,156171600.0,254.202,2.59,114.5843,124413000.0,2.4,66.11,104101.0,66.48,61889.0,3.8
2019-03-18,45.3094062805176,104879200.0,254.202,2.6,114.4404,124370000.0,2.4,66.65,104101.0,77.23,61889.0,3.8
2019-03-19,44.9503326416016,126585600.0,254.202,2.61,114.2348,124370000.0,2.4,67.13,104101.0,82.83,61889.0,3.8
2019-03-20,45.3431358337402,124140800.0,254.202,2.54,114.1532,124370000.0,2.41,68.35,104101.0,75.89,61889.0,3.8
2019-03-21,47.0131378173828,204136800.0,254.202,2.54,114.1708,124370000.0,2.41,68.3,104101.0,91.17,61889.0,3.8
2019-03-22,46.0395774841309,169630800.0,254.202,2.44,114.6879,124370000.0,2.41,66.29,104101.0,83.99,61889.0,3.8
2019-03-23,46.0395774841309,169630800.0,254.202,2.44,114.6879,124370000.0,2.41,66.29,104101.0,83.99,61889.0,3.8
2019-03-24,46.0395774841309,169630800.0,254.202,2.44,114.6879,124370000.0,2.41,66.29,104101.0,83.99,61889.0,3.8
2019-03-25,45.4829139709473,175381200.0,254.202,2.43,114.4193,124395000.0,2.4,67.37,104101.0,69.27,61889.0,3.8
2019-03-26,45.0130004882813,199202000.0,254.202,2.41,114.6438,124395000.0,2.4,67.51,104101.0,78.28,61889.0,3.8
2019-03-27,45.4178466796875,119393600.0,254.202,2.39,115.127,124395000.0,2.41,67.35,104101.0,92.66,61889.0,3.8
2019-03-28,45.4780960083008,83121600.0,254.202,2.39,115.2609,124395000.0,2.41,66.08,104101.0,53.74,61889.0,3.8
2019-03-29,45.7744979858398,94256000.0,254.202,2.41,115.1398,124395000.0,2.43,67.93,104101.0,91.25,61889.0,3.8
2019-03-30,45.7744979858398,94256000.0,254.202,2.41,115.1398,124395000.0,2.43,67.93,104101.0,91.25,61889.0,3.8
2019-03-31,45.7744979858398,94256000.0,254.202,2.41,115.1398,124395000.0,2.43,67.93,104101.0,91.25,61889.0,3.8
2019-04-01,46.0853652954102,111448000.0,255.211,2.49,114.9384,124429000.0,2.41,69.08,103867.0,117.34,62331.0,3.6
2019-04-02,46.7552909851074,91062800.0,255.211,2.48,115.1199,124429000.0,2.41,69.68,103867.0,130.56,62331.0,3.6
2019-04-03,47.075798034668,93087200.0,255.211,2.52,114.7238,124429000.0,2.41,69.21,103867.0,81.95,62331.0,3.6
2019-04-04,47.1577377319336,76457200.0,255.211,2.51,114.9722,124429000.0,2.41,69.8,103867.0,82.78,62331.0,3.6
2019-04-05,47.4734191894531,74106400.0,255.211,2.5,114.9749,124429000.0,2.41,69.93,103867.0,50.15,62331.0,3.6
2019-04-06,47.4734191894531,74106400.0,255.211,2.5,114.9749,124429000.0,2.41,69.93,103867.0,50.15,62331.0,3.6
2019-04-07,47.4734191894531,74106400.0,255.211,2.5,114.9749,124429000.0,2.41,69.93,103867.0,50.15,62331.0,3.6
2019-04-08,48.2204666137695,103526800.0,255.211,2.52,114.6914,124392000.0,2.41,71.12,103867.0,58.07,62331.0,3.6
2019-04-09,48.075870513916,143072800.0,255.211,2.51,114.5342,124392000.0,2.41,71.02,103867.0,60.19,62331.0,3.6
2019-04-10,48.3457679748535,86781200.0,255.211,2.48,114.429,124392000.0,2.41,71.63,103867.0,71.78,62331.0,3.6
2019-04-11,47.9433326721191,83603200.0,255.211,2.51,114.6325,124392000.0,2.41,71.3,103867.0,54.57,62331.0,3.6
2019-04-12,47.9240531921387,111042800.0,255.211,2.56,114.3553,124392000.0,2.41,71.57,103867.0,75.79,62331.0,3.6
2019-04-13,47.9240531921387,111042800.0,255.211,2.56,114.3553,124392000.0,2.41,71.57,103867.0,75.79,62331.0,3.6
2019-04-14,47.9240531921387,111042800.0,255.211,2.56,114.3553,124392000.0,2.41,71.57,103867.0,75.79,62331.0,3.6
2019-04-15,48.0108108520508,70146400.0,255.211,2.55,114.4972,124400000.0,2.41,70.9,103867.0,76.25,62331.0,3.6
2019-04-16,48.0156288146973,102785600.0,255.211,2.6,114.6781,124400000.0,2.41,70.74,103867.0,58.1,62331.0,3.6
2019-04-17,48.9506378173828,115627200.0,255.211,2.59,114.5163,124400000.0,2.42,71.14,103867.0,63.24,62331.0,3.6
2019-04-18,49.1265563964844,96783200.0,255.211,2.57,114.7093,124400000.0,2.43,70.71,103867.0,56.96,62331.0,3.6
2019-04-19,49.1265563964844,96783200.0,255.211,2.57,114.7093,124400000.0,2.43,70.71,103867.0,56.96,62331.0,3.6
2019-04-20,49.1265563964844,96783200.0,255.211,2.57,114.7093,124400000.0,2.43,70.71,103867.0,56.96,62331.0,3.6
2019-04-21,49.1265563964844,96783200.0,255.211,2.57,114.7093,124400000.0,2.43,70.71,103867.0,56.96,62331.0,3.6
2019-04-22,49.2880096435547,77758000.0,255.211,2.59,114.7715,124382000.0,2.44,70.71,103867.0,78.68,62331.0,3.6
2019-04-23,49.998908996582,93292000.0,255.211,2.57,115.1599,124382000.0,2.44,74.39,103867.0,56.96,62331.0,3.6
2019-04-24,49.9217948913574,70162400.0,255.211,2.53,115.4207,124382000.0,2.44,73.59,103867.0,60.14,62331.0,3.6
2019-04-25,49.4687461853027,74172800.0,255.211,2.54,115.7727,124382000.0,2.44,74.94,103867.0,76.31,62331.0,3.6
2019-04-26,49.2325897216797,74596400.0,255.211,2.51,115.4784,124382000.0,2.44,71.03,103867.0,67.89,62331.0,3.6
2019-04-27,49.2325897216797,74596400.0,255.211,2.51,115.4784,124382000.0,2.44,71.03,103867.0,67.89,62331.0,3.6
2019-04-28,49.2325897216797,74596400.0,255.211,2.51,115.4784,124382000.0,2.44,71.03,103867.0,67.89,62331.0,3.6
2019-04-29,49.3072929382324,88818800.0,255.211,2.54,115.5248,124333000.0,2.45,71.22,103867.0,97.53,62331.0,3.6
2019-04-30,48.3578224182129,186139600.0,255.211,2.51,115.3303,124333000.0,2.45,72.19,103867.0,75.34,62331.0,3.6
2019-05-01,50.7314910888672,259309200.0,255.29,2.52,115.0044,124333000.0,2.45,72.01,103766.0,112.75,62331.0,3.7
2019-05-02,50.4013519287109,127985200.0,255.29,2.55,115.5641,124333000.0,2.41,70.56,103766.0,30.2,62331.0,3.7
2019-05-03,51.0279006958008,83569600.0,255.29,2.54,115.267,124333000.0,2.4,71.95,103766.0,57.65,62331.0,3.7
2019-05-04,51.0279006958008,83569600.0,255.29,2.54,115.267,124333000.0,2.4,71.95,103766.0,57.65,62331.0,3.7
2019-05-05,51.0279006958008,83569600.0,255.29,2.54,115.267,124333000.0,2.4,71.95,103766.0,57.65,62331.0,3.7
2019-05-06,50.2398796081543,129772400.0,255.29,2.51,115.3835,124349000.0,2.4,71.95,103766.0,93.78,62331.0,3.7
2019-05-07,48.8855743408203,155054800.0,255.29,2.45,115.6139,124349000.0,2.4,70.98,103766.0,111.09,62331.0,3.7
2019-05-08,48.8952026367188,105358000.0,255.29,2.49,115.5196,124349000.0,2.39,71.09,103766.0,101.81,62331.0,3.7
2019-05-09,48.3698654174805,139634400.0,255.29,2.45,115.8448,124349000.0,2.38,70.61,103766.0,67.46,62331.0,3.7
2019-05-10,47.6997795104981,164834800.0,255.29,2.47,115.5362,124349000.0,2.38,71.63,103766.0,108.12,62331.0,3.7
2019-05-11,47.6997795104981,164834800.0,255.29,2.47,115.5362,124349000.0,2.38,71.63,103766.0,108.12,62331.0,3.7
2019-05-12,47.6997795104981,164834800.0,255.29,2.47,115.5362,124349000.0,2.38,71.63,103766.0,108.12,62331.0,3.7
2019-05-13,44.9274940490723,229722400.0,255.29,2.4,115.9177,124359000.0,2.38,72.35,103766.0,94.65,62331.0,3.7
2019-05-14,45.6387138366699,146118800.0,255.29,2.42,115.9454,124359000.0,2.38,72.53,103766.0,126.65,62331.0,3.7
2019-05-15,46.1854248046875,106178800.0,255.29,2.37,115.8596,124359000.0,2.4,73.09,103766.0,132.3,62331.0,3.7
2019-05-16,45.9822235107422,132125600.0,255.29,2.4,116.0379,124359000.0,2.39,74.7,103766.0,94.72,62331.0,3.7
2019-05-17,45.7209587097168,131516400.0,255.29,2.39,116.4516,124359000.0,2.39,73.94,103766.0,117.89,62331.0,3.7
2019-05-18,45.7209587097168,131516400.0,255.29,2.39,116.4516,124359000.0,2.39,73.94,103766.0,117.89,62331.0,3.7
2019-05-19,45.7209587097168,131516400.0,255.29,2.39,116.4516,124359000.0,2.39,73.94,103766.0,117.89,62331.0,3.7
2019-05-20,44.2912712097168,154449200.0,255.29,2.41,116.3161,124362000.0,2.39,73.21,103766.0,95.08,62331.0,3.7
2019-05-21,45.1403770446777,113459200.0,255.29,2.43,116.2883,124362000.0,2.39,72.94,103766.0,73.8,62331.0,3.7
2019-05-22,44.2162818908691,118994400.0,255.29,2.39,116.2449,124362000.0,2.38,71.94,103766.0,69.8,62331.0,3.7
2019-05-23,43.4615211486816,146118800.0,255.29,2.31,116.2404,124362000.0,2.38,68.37,103766.0,71.04,62331.0,3.7
2019-05-24,43.2946128845215,94858800.0,255.29,2.32,116.0844,124362000.0,2.38,67.98,103766.0,144.24,62331.0,3.7
2019-05-25,43.2946128845215,94858800.0,255.29,2.32,116.0844,124362000.0,2.38,67.98,103766.0,144.24,62331.0,3.7
2019-05-26,43.2946128845215,94858800.0,255.29,2.32,116.0844,124362000.0,2.38,67.98,103766.0,144.24,62331.0,3.7
2019-05-27,43.2946128845215,94858800.0,255.29,2.32,116.0844,124362000.0,2.38,67.98,103766.0,144.24,62331.0,3.7
2019-05-28,43.1155891418457,111792800.0,255.29,2.26,116.3213,124353000.0,2.39,70.19,103766.0,69.48,62331.0,3.7
2019-05-29,42.9099731445313,113924800.0,255.29,2.25,116.5569,124353000.0,2.39,70.64,103766.0,55.62,62331.0,3.7
2019-05-30,43.132511138916,84873600.0,255.29,2.22,116.4021,124353000.0,2.39,69.55,103766.0,50.84,62331.0,3.7
2019-05-31,42.3511619567871,108174400.0,255.29,2.14,116.7313,124353000.0,2.4,66.78,103766.0,94.35,62331.0,3.7
2019-06-01,42.3511619567871,108174400.0,255.29,2.14,116.7313,124353000.0,2.4,66.78,103766.0,94.35,62331.0,3.7
2019-06-02,42.3511619567871,108174400.0,255.29,2.14,116.7313,124353000.0,2.4,66.78,103766.0,94.35,62331.0,3.7
2019-06-03,41.9229698181152,161584400.0,255.159,2.07,116.481,124398000.0,2.38,63.16,103849.0,72.86,62331.0,3.6
2019-06-04,43.4566841125488,123872000.0,255.159,2.12,116.0953,124398000.0,2.38,63.56,103849.0,120.06,62331.0,3.6
2019-06-05,44.1582183837891,119093600.0,255.159,2.12,116.0342,124398000.0,2.38,62.14,103849.0,217.51,62331.0,3.6
2019-06-06,44.8065376281738,90105200.0,255.159,2.12,115.9821,124398000.0,2.37,62.77,103849.0,137.43,62331.0,3.6
2019-06-07,45.999153137207,122737600.0,255.159,2.09,115.742,124398000.0,2.37,64.1,103849.0,242.25,62331.0,3.6
2019-06-08,45.999153137207,122737600.0,255.159,2.09,115.742,124398000.0,2.37,64.1,103849.0,242.25,62331.0,3.6
2019-06-09,45.999153137207,122737600.0,255.159,2.09,115.742,124398000.0,2.37,64.1,103849.0,242.25,62331.0,3.6
2019-06-10,46.5870056152344,104883600.0,255.159,2.15,115.5046,124436000.0,2.37,64.31,103849.0,162.1,62331.0,3.6
2019-06-11,47.1264495849609,107731600.0,255.159,2.15,115.3837,124436000.0,2.37,63.56,103849.0,130.24,62331.0,3.6
2019-06-12,46.9764747619629,73012800.0,255.159,2.13,115.4422,124436000.0,2.37,61.66,103849.0,116.03,62331.0,3.6
2019-06-13,46.9668006896973,86698400.0,255.159,2.1,115.6316,124436000.0,2.37,63.28,103849.0,143.87,62331.0,3.6
2019-06-14,46.6257057189941,75046000.0,255.159,2.09,115.9094,124436000.0,2.36,63.13,103849.0,145.07,62331.0,3.6
2019-06-15,46.6257057189941,75046000.0,255.159,2.09,115.9094,124436000.0,2.36,63.13,103849.0,145.07,62331.0,3.6
2019-06-16,46.6257057189941,75046000.0,255.159,2.09,115.9094,124436000.0,2.36,63.13,103849.0,145.07,62331.0,3.6
2019-06-17,46.9039039611816,58676400.0,255.159,2.09,115.9722,124458000.0,2.38,62.56,103849.0,82.16,62331.0,3.6
2019-06-18,48.0070037841797,106204000.0,255.159,2.06,115.8833,124458000.0,2.37,63.35,103849.0,146.35,62331.0,3.6
2019-06-19,47.8666915893555,84496800.0,255.159,2.03,115.7926,124458000.0,2.37,62.85,103849.0,77.89,62331.0,3.6
2019-06-20,48.251335144043,86056000.0,255.159,2.01,114.8081,124458000.0,2.37,65.44,103849.0,116.67,62331.0,3.6
2019-06-21,48.0868453979492,191202400.0,255.159,2.07,114.8413,124458000.0,2.38,65.99,103849.0,178.92,62331.0,3.6
2019-06-22,48.0868453979492,191202400.0,255.159,2.07,114.8413,124458000.0,2.38,65.99,103849.0,178.92,62331.0,3.6
2019-06-23,48.0868453979492,191202400.0,255.159,2.07,114.8413,124458000.0,2.38,65.99,103849.0,178.92,62331.0,3.6
2019-06-24,48.038459777832,72881600.0,255.159,2.02,114.6602,124472000.0,2.38,65.16,103849.0,92.75,62331.0,3.6
2019-06-25,47.3103065490723,84281200.0,255.159,2.0,114.6407,124472000.0,2.38,66.24,103849.0,74.19,62331.0,3.6
2019-06-26,48.3335876464844,104270000.0,255.159,2.05,114.5654,124472000.0,2.38,66.85,103849.0,142.51,62331.0,3.6
2019-06-27,48.3190727233887,83598800.0,255.159,2.01,114.6698,124472000.0,2.38,66.78,103849.0,64.08,62331.0,3.6
